dataset,embedding_model,classifier,accuracy,macro_f1,precision_ps,recall_ps,f1_ps,precision_nps,recall_nps,f1_nps,TP,TN,FP,FN,threshold
uk,bert-base-multilingual-uncased,SVM,0.7782515991471215,0.7538499495345969,0.6197718631178707,0.7442922374429224,0.6763485477178424,0.8728717366628831,0.7936016511867905,0.8313513513513514,326,769,200,112,0.5
uk,bert-base-multilingual-uncased,XGBoost_Optimized,0.853589196872779,0.8374778512952787,0.720532319391635,0.865296803652968,0.7863070539419087,0.9330306469920545,0.848297213622291,0.8886486486486487,379,822,147,59,0.5
uk,bert-base-multilingual-uncased,XGBoost,0.853589196872779,0.8374778512952787,0.720532319391635,0.865296803652968,0.7863070539419087,0.9330306469920545,0.848297213622291,0.8886486486486487,379,822,147,59,0.5
uk,bert-base-multilingual-uncased,LightGBM_Optimized,0.8621179815209666,0.8475456093081861,0.7284644194756554,0.8881278538812786,0.8004115226337448,0.9438717067583047,0.8503611971104231,0.8946796959826274,389,824,145,49,0.5
uk,bert-base-multilingual-uncased,LightGBM,0.8621179815209666,0.8475456093081861,0.7284644194756554,0.8881278538812786,0.8004115226337448,0.9438717067583047,0.8503611971104231,0.8946796959826274,389,824,145,49,0.5
uk,bert-base-multilingual-uncased,Random_Forest_Optimized,0.5863539445628998,0.5863069256510984,0.4268292682926829,0.958904109589041,0.590717299578059,0.9574468085106383,0.4179566563467492,0.5818965517241379,420,405,564,18,0.30000000000000004
uk,bert-base-multilingual-uncased,Random_Forest,0.7540867093105899,0.7432546747898877,0.5676470588235294,0.8812785388127854,0.6905187835420394,0.9284731774415406,0.6965944272445821,0.795990566037736,386,675,294,52,0.5
uk,bert-base-multilingual-uncased,Voting_Ensemble,0.853589196872779,0.8377987249626173,0.7188679245283018,0.8698630136986302,0.7871900826446281,0.935005701254276,0.846233230134159,0.8884073672806067,381,820,149,57,0.5
germany,bert-base-multilingual-uncased,SVM,0.8049474605954466,0.6709550722714983,0.34386281588447654,0.6990825688073394,0.4609800362976406,0.9526011560693641,0.8192890877454636,0.8809301082453561,381,3296,727,164,0.5
germany,bert-base-multilingual-uncased,XGBoost_Optimized,0.9141856392294221,0.8248915018413883,0.6005256241787122,0.8385321100917431,0.6998468606431854,0.9768846861045443,0.9244345016157096,0.9499361430395913,457,3719,304,88,0.5
germany,bert-base-multilingual-uncased,XGBoost,0.9141856392294221,0.8248915018413883,0.6005256241787122,0.8385321100917431,0.6998468606431854,0.9768846861045443,0.9244345016157096,0.9499361430395913,457,3719,304,88,0.5
germany,bert-base-multilingual-uncased,LightGBM_Optimized,0.9063047285464098,0.8144504209426215,0.5723114956736712,0.8495412844036697,0.6838995568685378,0.9781856876828944,0.9139945314441958,0.9450012850167052,463,3677,346,82,0.5
germany,bert-base-multilingual-uncased,LightGBM,0.9063047285464098,0.8144504209426215,0.5723114956736712,0.8495412844036697,0.6838995568685378,0.9781856876828944,0.9139945314441958,0.9450012850167052,463,3677,346,82,0.5
